특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_median_3d_Fz,alpha,norm2,Random Forest,0.84,0.5943,0.66,0.5614
F_de_3d_2area,alpha,None,Logistic Regression,0.5467,0.552,0.59,0.5614
F_median_3d_Fz,theta,None,Ensemble (Majority Vote),0.78,0.6329,0.58,0.5614
F_peak_3d_T7,all,None,Linear SVM,0.6467,0.6055,0.59,0.5614
F_rasm_3d_10rm,theta,norm3,Random Forest,0.8067,0.6975,0.61,0.5614
F_median_3d_Fz,alpha,norm3,Random Forest,0.84,0.5943,0.66,0.5614
F_de_3d_3area,beta,None,Logistic Regression,0.6133,0.5745,0.57,0.5614
F_peak_3d_2area,all,None,Logistic Regression,0.6733,0.6294,0.6,0.5614
F_dasm_3d19,gamma,None,Linear SVM,0.68,0.6234,0.56,0.5614
F_peak_3d_C3,beta,None,Linear SVM,0.5933,0.5501,0.57,0.5614
F_de_3d_F4,beta,None,Linear SVM,0.6267,0.5674,0.58,0.5614
F_peak_3d_C3,beta,None,Logistic Regression,0.5933,0.5494,0.57,0.5614
F_dasm_3d_10rm,delta,norm3,Logistic Regression,0.58,0.5605,0.58,0.5614
F_peak_3d_2area,beta,None,Logistic Regression,0.58,0.5678,0.55,0.5614
F_mean_3d_1area,theta,norm3,KNN,0.9933,0.6786,0.63,0.5614
F_mean_3d_1area,theta,norm2,KNN,0.9933,0.6786,0.63,0.5614
F_de_3d_Fz,theta,None,XGBoost,0.6733,0.5828,0.54,0.5614
F_de_3d_F4,beta,None,Logistic Regression,0.6267,0.568,0.58,0.5614
F_mean_3d_F8,alpha,None,Random Forest,0.6733,0.6002,0.59,0.5614
F_de_3d_Fz,all,None,Random Forest,0.7667,0.6899,0.54,0.5614
F_mean_3d,delta,None,Linear SVM,0.74,0.6487,0.56,0.56
F_dasm_3d_10rm,delta,norm3,Linear SVM,0.58,0.5616,0.58,0.56
F_rasm_3d_10rm,alpha,None,Ensemble (Majority Vote),0.78,0.6637,0.56,0.56
F_dasm_3d_10rm,delta,None,Linear SVM,0.62,0.5761,0.58,0.56
F_mean_3d19,all,None,Linear SVM,0.9933,0.8625,0.58,0.56
F_peak_3d,all,None,Logistic Regression,0.9733,0.8568,0.57,0.56
F_peak_3d,all,norm3,Ensemble (Majority Vote),1.0,0.9589,0.56,0.56
F_peak_3d_3area,theta,None,Logistic Regression,0.6267,0.5731,0.58,0.56
F_median_3d_F4,gamma,None,XGBoost,0.6267,0.5749,0.58,0.56
F_de_3d_Fz,theta,None,Ensemble (Majority Vote),0.7933,0.626,0.57,0.56
F_median_3d_F8,all,None,KNN,0.98,0.743,0.64,0.56
F_peak_3d_8rm,all,None,Ensemble (Majority Vote),0.9933,0.9108,0.58,0.56
F_peak_3d_3area,delta,None,Ensemble (Majority Vote),0.7667,0.6807,0.57,0.56
